#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
'Bacillus oceani' Liu et al. 2013	DSM 26213, KCTC 33077, SCSIO 04524	yes	no
'Burkholderia humi' Srinivasan et al. 2013	JCM 18069, KEMC 7302-068, Rs7	yes	no
'Deinococcus soli' Zhang et al. 2011	CCTCC AB 208223, KCTC 13419, ZLM-202	yes	no
'Lysobacter humi' Akter et al. 2016	CCTCC AB 2015292, KACC 18284, THG-PC4	yes	no
'Lysobacter humi' Lee et al. 2016	FJY8, JCM 31019, KCTC 42810	yes	no
'Nocardioides flavus' Ruan and Zhang 1979	71-N54, IFO 14396, KCTC 9643, NBRC 14396, NRRL B-16231	yes	no
'Novosphingobium aquaticum' Singh et al. 2015	CCTCC AB 2015114, KCTC 42608, THW-SA1	yes	no
'Paenibacillus cucumis' Ahn et al. 2014	CO 4-7	yes	no
'Shewanella arctica' Qoura et al. 2014	40-3, DSM 16509, JCM 14208	yes	no
'Sphingomonas ginsengisoli' Hoang et al. 2012	DCY58, JCM 18016, KCTC 2376	yes	no
'Streptomyces viridis' (Lombardo-Pellegrino 1903) Waksman 1953	Baldacci 398, IFO 13373, IPV 398, ISP 5381, NBRC 13373	yes	no
Abditibacterium utsteinense	DSM 105287, LMG 29911, R-68213	yes	yes
Abiotrophia defectiva	ATCC 49176, CCUG 27639, CCUG 27804, CIP 103242, DSM 9849, LMG 14740, SC10	yes	yes
Absiella argi	N6H1-5	yes	no
Absiella dolichum	ATCC 29143, DSM 3991, JCM 10413	yes	yes
Absiella tortuosum	ATCC 25548, DSM 3987	yes	no
Abyssicoccus albus	CCTCC AB 2014213, DSM 29158, YIM M12140	yes	no
Abyssivirga alkaniphila	DSM 29592, JCM 30920, L81	yes	no
Acanthopleuribacter pedis	FYK2218, KCTC 12899, NBRC 101209	yes	no
Acaricomes phytoseiuli	CCUG 49701, CSC, DSM 14247, JCM 14300	yes	yes
Acaryochloris marina	MBIC 11017	yes	yes
Acetanaerobacterium elongatum	AS 1.5012, JCM 12359, Z7	yes	no
Acetatifactor muris	ATCC BAA-2170, CT-m2, DSM 23669	yes	no
Acetitomaculum ruminis	139B, ATCC 43876, DSM 5522	yes	yes
Acetivibrio cellulolyticus	ATCC 33288, BAS [[Acetivibrio cellulosolvens]], CD2, DSM 1870, LMG 8466, NRC 2248, NRC 2936 [[Acetivibrio cellulosolvens]]	yes	yes
Acetivibrio ethanolgignens	77-6, ATCC 33324, DSM 3005, LMG 7055	yes	no
Acetoanaerobium noterae	ATCC 35199, NOT-3	yes	yes
Acetoanaerobium pronyense	DSM 27512, JCM 19400, ST07-YE	yes	no
Acetoanaerobium sticklandii	ATCC 12662, BCRC 14485, CCRC 14485, CCUG 9281, DSM 519, HF, JCM 1433, NCIB 10654, NCIMB 10654, StadtmanHF	yes	yes
Acetobacter aceti	ATCC 15973, CCUG 18122, CIP 103111, DSM 3508, ICMP 8807, IFO 14818, IMET 10732, JCM 7641, LMG 1261, LMG 1504, NBRC 14818, NCCB 23001, NCIB 8621, NCIMB 8621	yes	yes
Acetobacter cerevisiae	ATCC 23765, DSM 14362, JCM 17273, LMG 1625, NCIB 8894, NCIMB 8894	yes	yes
Acetobacter cibinongensis	4H-1, CIP 107380, DSM 15549, IFO 16605, JCM 11196, NBRC 16605	yes	yes
Acetobacter estunensis	ATCC 23753, DSM 4493, IFO 13751, JCM 21172, LMG 1626, NBRC 13751, NCIMB 8935	yes	no
Acetobacter fabarum	985, DSM 19596, LMG 24244, R-36330	yes	no
Acetobacter farinalis	BCC 44845, G360-1, NBRC 107750, PCU 319	yes	no
Acetobacter ghanensis	430A, DSM 18895, LMG 23848, R-29337	yes	yes
Acetobacter indonesiensis	5H-1, DSM 15552, IFO 16471, JCM 10948, LMG 19824, NBRC 16471, NRIC 0313	yes	yes
Acetobacter lambici	DSM 27328, LMG 27439	yes	no
Acetobacter lovaniensis	ATCC 12875, DSM 4491, IFO 13753, IMET 10734, JCM 17121, LMG 1579, LMG 1617, NBRC 13753, NCIMB 8620	yes	no
Acetobacter malorum	DSM 14337, JCM 17274, LMG 1746	yes	yes
Acetobacter musti	Bo7, CECT 7722, DSM 23824	yes	no
Acetobacter nitrogenifigens	BCRC 80095, DSM 23921, LMG 23498, MTCC 6912, NBRC 105050, RG1	yes	yes
Acetobacter oeni	B13, CECT 5830, LMG 21952	yes	no
Acetobacter okinawensis	1-35, JCM 25146, LMG 26457, NRIC 0658	yes	yes
Acetobacter orientalis	21F-2, CIP 107379, DSM 15550, IFO 16606, JCM 11195, NBRC 16606	yes	yes
Acetobacter orleanensis	ATCC 12876, CCUG 18126, DSM 4492, IFO 13752, IMET 10752, JCM 7639, LMG 1583, NBRC 13752, NCCB 31003, NCIMB 8622	yes	yes
Acetobacter oryzifermentans	JCM 31096, KACC 19301, SLV-7	yes	yes
Acetobacter papayae	1-25, JCM 25143, LMG 26456, NRIC 0655	yes	yes
Acetobacter pasteurianus	ATCC 12874 [[Acetobacter pasteurianus subsp. ascendens]], ATCC 12874 [[Acetobacter pasteurianus subsp. paradoxus]], ATCC 12874 [[Acetobacter peroxydans]], ATCC 33445, CCUG 18125, CIP 103108, DSM 2347 [[Acetobacter pasteurianus subsp. ascendens]], DSM 2347 [[Acetobacter pasteurianus subsp. paradoxus]], DSM 2347 [[Acetobacter peroxydans]], DSM 3509, IMET 10733, JCM 7640, LMD 22.1, LMD 51.1 [[Acetobacter pasteurianus subsp. ascendens]], LMD 51.1 [[Acetobacter pasteurianus subsp. paradoxus]], LMD 51.1 [[Acetobacter peroxydans]], LMD 53.6 [[Acetobacter pasteurianus subsp. ascendens]], LMD 53.6 [[Acetobacter pasteurianus subsp. paradoxus]], LMD 53.6 [[Acetobacter peroxydans]], LMG 1262, NCCB 22001	yes	yes
Acetobacter pasteurianus subsp. ascendens	CCUG 18128, LMD 51.1, LMG 1590, NCCB 51001, not CCM 3612	yes	yes
Acetobacter pasteurianus subsp. paradoxus	LMD 53.6, LMG 1591, NCCB 53006	yes	yes
Acetobacter peroxydans	ATCC 12874, IFO 13755, JCM 25077, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009	yes	no
Acetobacter persici	JCM 25330, LMG 26458, T-120	yes	yes
Acetobacter pomorum	CIP 105762, DSM 11825, LMG 18848, LTH 2458	yes	no
Acetobacter senegalensis	CWBI-B418, DSM 18889, LMG 23690	yes	yes
Acetobacter sicerae	LMG 1531, NCIMB 8941	yes	no
Acetobacter suratthaniensis	AI32, BCC 26087, NBRC 111399	yes	no
Acetobacter syzygii	9H-2, CIP 107378, DSM 15548, IFO 16604, JCM 11197, NBRC 16604	yes	yes
Acetobacter thailandicus	AD25, BCC 15839, NBRC 103583	yes	no
Acetobacter tropicalis	DSM 15551, IFO 16470, JCM 10947, LMG 19825, NBRC 16470, NRIC 0312, Ni-6b	yes	yes
Acetobacterium bakii	ATCC 51794, DSM 8239, Z-4391	yes	yes
Acetobacterium carbinolicum	DSM 2925, WoProp 1	yes	no
Acetobacterium carbinolicum subsp. kysingense	ATCC BAA-990, DSM 16427, SyrA5	yes	no
Acetobacterium dehalogenans	DSM 11527	yes	yes
Acetobacterium fimetarium	ATCC 51795, DSM 8238, Z-4290	yes	no
Acetobacterium malicum	ATCC 51201, DSM 4132, MuME1	yes	no
Acetobacterium paludosum	ATCC 51793, DSM 8237, Z-4092	yes	no
Acetobacterium psammolithicum	CN-E, SMCC/W 751	yes	no
Acetobacterium tundrae	DSM 9173, Z-4493	yes	no
Acetobacterium wieringae	ATCC 43740, C, DSM 1911, JCM 2380, LMG 7579	yes	yes
Acetobacterium woodii	ATCC 29683, DSM 1030, JCM 2381	yes	yes
Acetobacteroides hydrogenigenes	CGMCC 1.5173, DSM 24657, JCM 17603, RL-C	yes	no
Acetofilamentum rigidum	DSM 20769, MN, strian MN	no	no
Acetohalobium arabaticum	ATCC 49924, DSM 5501, Z-7288	yes	yes
Acetomicrobium flavidum	ATCC 43122, DSM 20664, LMG 6941	yes	yes
Acetomicrobium hydrogeniformans	ATCC BAA-1850, DSM 22491, OS1	yes	yes
Acetomicrobium mobile	ATCC BAA-54, DSM 13181, JCM 12221, NGA	yes	yes
Acetomicrobium thermoterrenum	ACM 5076, DSM 13490, RWcit2	no	yes
Acetonema longum	APO-1, ATCC 51454, DSM 6540	yes	yes
Acetothermus paucivorans	DSM 20768, TN	no	no
Acholeplasma axanthum	ATCC 25176	yes	yes
Acholeplasma brassicae	0502, ATCC 49388	yes	no
Acholeplasma cavigenitalium	ATCC 49901, GP3, NCTC 11727	yes	no
Acholeplasma equifetale	ATCC 29724, C112, NCTC 10171	yes	yes
Acholeplasma granularum	ATCC 19168, BTS-39, NBRC 14847, NCTC 10128	yes	yes
Acholeplasma hippikon	ATCC 29725, C1, NCTC 10172	yes	yes
Acholeplasma laidlawii	ATCC 23206, CIP 75.27, DSM 23060, IFO 14400, IMET 10894, NBRC 14400, NCTC 10116, PG-8, PG-8A, PG8, PG8-A	yes	yes
Acholeplasma modicum	ATCC 29102, NCTC 10134	yes	yes
Acholeplasma morum	72-043, ATCC 33211, NCTC 10188	yes	no
Acholeplasma multilocale	ATCC 49900, NCTC 11723, PN525	yes	yes
Acholeplasma oculi	ATCC 27350, NCTC 10150	yes	yes
Acholeplasma palmae	ATCC 49389, J233	yes	yes
Acholeplasma parvum	ATCC 29892, H23M, NCTC 10198	yes	no
Acholeplasma pleciae	ATCC 49582, NBRC 100476, PS-1	yes	no
Acholeplasma vituli	ATCC 700667, CIP 107001, FC 097-2	yes	no
Achromobacter aegrifaciens	CCUG 62438, LMG 26852	yes	no
Achromobacter agilis	CCUG 62454, LMG 3411, NCIB 9986	yes	no
Achromobacter aloeverae	AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383	yes	no
Achromobacter animicus	AU15230, CCUG 61966, LMG 26690, R-46662	yes	no
Achromobacter anxifer	CCUG 62444, LMG 26857	yes	no
Achromobacter deleyi	CCUG 62433, LMG 3458	yes	no
Achromobacter denitrificans	ATCC 15173, CCUG 407, CIP 77.15, DSM 30026, IFO 15125, JCM 5490, JCM 9657, LMG 1231, NBRC 15125, NCTC 8582	yes	yes
Achromobacter dolens	CCUG 6242, CCUG 62421, LMG 26840	yes	no
Achromobacter insolitus	API 201-3-84, CCUG 47057, LMG 6003	yes	yes
Achromobacter insuavis	CCUG 62426, LMG 26845	yes	no
Achromobacter kerstersii	CCUG 62449, Holding CS8, LMG 3441	yes	no
Achromobacter marplatensis	AU14580 [[Achromobacter spiritinus]], B2, CCM 7608, CCUG 56371, CCUG 61968 [[Achromobacter spiritinus]], CECT 7342, LMG 26692 [[Achromobacter spiritinus]], R-46660 [[Achromobacter spiritinus]]	yes	yes
Achromobacter mucicolens	AU13054, CCUG 61961, LMG 26685, R-46658	yes	no
Achromobacter pestifer	ATCC 15445, CCUG 61959, LMG 3431	yes	no
Achromobacter piechaudii	ATCC 43552, CCUG 724, CIP 60.75, DSM 10342, Hugh 366-5, IAM 12591, JCM 20668, LMG 1873, NBRC 102461, NCTC 11970	yes	yes
Achromobacter pulmonis	CCUG 61972, E38/27-S, LMG 26696, R-16442	yes	no
Achromobacter ruhlandii	ATCC 15749, CIP 77.26, DSM 653, LMG 1866, VKM B-1333	no	no
Achromobacter spanius	API 198-2-84, CCUG 47062, LMG 5911	yes	no
Achromobacter xylosoxidans	ATCC 27061, CCUG 12689, CIP 71.32, DSM 10346, DSM 2402, Hugh 2838, IFO 15126, JCM 9659, KM 543, LMG 1863, NBRC 15126, NCTC 10807, NRRL B-4082, Yabuuchi KM 543	yes	yes
Achromobacter xylosoxidans subsp. xylosoxidans	ATCC 27061, DSM 10346, DSM 2402	no	no
Acidaminobacter hydrogenoformans	CIP 106102, DSM 2784, glu 65	yes	yes
Acidaminococcus fermentans	ATCC 25085, CCUG 9996, CIP 106432, DSM 20731, VR4	yes	yes
Acidaminococcus intestini	ADV 255.99, AIP 283.01, CCUG 50930, CIP 108586, DSM 21505	yes	yes
Acidaminococcus massiliensis	CSUR P2828, Marseille-P2828	yes	yes
Acidaminococcus timonensis	CSUR P2764, Marseille-P2764	yes	yes
Acidianus ambivalens	CIP 104912, DSM 3772, JCM 9191, Lei 10	yes	no
Acidianus brierleyi	DSM 1651, IFO 15269, JCM 8954, NBRC 15269	yes	no
Acidianus infernus	DSM 3191, IFO 15270, JCM 8955, NBRC 15270, So4a	yes	no
Acidianus manzaensis	ATCC BAA 1057, NA-1, NBRC 100595	no	no
Acidianus sulfidivorans	DSM 18786, JCM 13667, JP7	yes	no
Acidianus tengchongensis	S5	yes	no
Acidibacillus ferrooxidans	SLC66	yes	yes
Acidibacillus sulfuroxidans	Y002	yes	no
Acidibacter ferrireducens	DSM 27237, MCF85, NCCB 100460	yes	no
Acidicaldus organivorans	ATCC BAA-1105, DSM 16953, Y008	yes	no
Acidicapsa acidiphila	DSM 29819, MCF10, NCCB 100576	yes	no
Acidicapsa acidisoli	DSM 100508, NBRC 111227, SK-11	yes	no
Acidicapsa borealis	DSM 23886, KA1, LMG 25897, VKM B-2678	yes	no
Acidicapsa ferrireducens	DSM 28997, MCF9, NCCB 100575	yes	no
