readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
R0170300050_tooth_RA_k119_1517	cid|2066049	2066049	100	64	25	6502	1
R0170300050_tooth_RA_k119_10276	cid|536	536	225	196	30	2574	1
R0170300050_tooth_RA_k119_11066	cid|712122	712122	225	196	30	4846	1
R0170300050_tooth_RA_k119_5545	cid|37927	37927	576	289	39	8338	1
R0170300050_tooth_RA_k119_11023	cid|1744	1744	289	0	32	6863	1
R0170300050_tooth_RA_k119_563	cid|372663	372663	3613	0	115	3238	1
R0170300050_tooth_RA_k119_6227	cid|857417	857417	900	0	45	8894	1
R0170300050_tooth_RA_k119_9026	cid|1653479	1653479	1089	0	48	12015	1
R0170300050_tooth_RA_k119_15730	cid|111015	111015	962	0	70	6809	1
R0170300050_tooth_RA_k119_18882	cid|279828	279828	841	324	44	9726	1
R0170300050_tooth_RA_k119_21252	cid|279828	279828	1268	0	80	8499	1
R0170300050_tooth_RA_k119_15882	cid|1619308	1619308	370	169	56	11076	1
R0170300050_tooth_RA_k119_18876	cid|472569	472569	3969	3844	78	10577	1
R0170300050_tooth_RA_k119_23342	cid|1661	1661	4096	324	79	2706	1
R0170300050_tooth_RA_k119_23856	cid|1748	1748	256	169	31	2614	1
R0170300050_tooth_RA_k119_27526	cid|444103	444103	729	0	42	3696	1
R0170300050_tooth_RA_k119_28113	cid|111015	111015	1189	100	73	6185	1
R0170300050_tooth_RA_k119_22227	cid|1711	1711	2809	0	68	10798	1
R0170300050_tooth_RA_k119_22164	cid|196162	196162	1089	0	48	13953	1
R0170300050_tooth_RA_k119_26009	cid|1710	1710	1754	529	88	10335	1
R0170300050_tooth_RA_k119_29780	cid|2005884	2005884	1156	0	49	3667	1
R0170300050_tooth_RA_k119_35617	cid|1851395	1851395	1313	1156	81	2517	1
R0170300050_tooth_RA_k119_33800	cid|530584	530584	64	0	23	5730	1
R0170300050_tooth_RA_k119_37055	cid|43663	43663	256	81	31	2607	1
R0170300050_tooth_RA_k119_29235	cid|56	56	225	81	30	10408	1
R0170300050_tooth_RA_k119_38434	cid|1926	1926	196	81	29	3436	1
R0170300050_tooth_RA_k119_38732	cid|103816	103816	676	676	41	2546	3
R0170300050_tooth_RA_k119_38732	cid|935199	935199	676	676	41	2546	3
R0170300050_tooth_RA_k119_38732	cid|1570939	1570939	676	676	41	2546	3
R0170300050_tooth_RA_k119_37785	cid|1902	1902	484	0	37	5744	1
R0170300050_tooth_RA_k119_27764	cid|160791	160791	289	0	32	16510	1
R0170300050_tooth_RA_k119_42317	cid|37326	37326	169	64	28	4915	1
R0170300050_tooth_RA_k119_38851	cid|1411902	1411902	1521	0	54	6042	1
R0170300050_tooth_RA_k119_37044	cid|204773	204773	225	0	30	12877	1
R0170300050_tooth_RA_k119_43413	cid|265293	265293	289	256	32	6244	1
R0170300050_tooth_RA_k119_44267	cid|111015	111015	225	169	30	5628	1
R0170300050_tooth_RA_k119_47854	cid|1797	1797	1521	121	54	2829	1
R0170300050_tooth_RA_k119_46003	cid|2003551	2003551	676	196	41	10023	1
R0170300050_tooth_RA_k119_43562	cid|82541	82541	841	0	44	12008	1
R0170300050_tooth_RA_k119_48965	cid|193462	193462	784	784	43	8389	2
R0170300050_tooth_RA_k119_48965	cid|1004901	1004901	784	784	43	8389	2
R0170300050_tooth_RA_k119_48481	cid|54571	54571	289	289	32	13476	2
R0170300050_tooth_RA_k119_48481	cid|1771	1771	289	289	32	13476	2
R0170300050_tooth_RA_k119_53069	cid|1033922	1033922	841	400	44	8660	1
R0170300050_tooth_RA_k119_53085	cid|186189	186189	484	225	37	8376	1
R0170300050_tooth_RA_k119_37682	cid|59505	59505	3969	0	78	26461	1
R0170300050_tooth_RA_k119_53361	cid|1571470	1571470	121	121	26	5518	2
R0170300050_tooth_RA_k119_53361	cid|2028343	2028343	121	121	26	5518	2
R0170300050_tooth_RA_k119_54670	cid|57975	57975	441	361	36	3115	1
R0170300050_tooth_RA_k119_50736	cid|292	292	144	144	27	11396	3
R0170300050_tooth_RA_k119_50736	cid|95485	95485	144	144	27	11396	3
R0170300050_tooth_RA_k119_50736	cid|95486	95486	144	144	27	11396	3
R0170300050_tooth_RA_k119_20126	cid|1121358	1121358	729	648	42	38116	1
R0170300050_tooth_RA_k119_55145	cid|453304	453304	841	841	44	5312	4
R0170300050_tooth_RA_k119_55145	cid|186189	186189	841	841	44	5312	4
R0170300050_tooth_RA_k119_55145	cid|446860	446860	841	841	44	5312	4
R0170300050_tooth_RA_k119_55145	cid|1888	1888	841	841	44	5312	4
R0170300050_tooth_RA_k119_59187	cid|1980001	1980001	324	81	33	4980	1
R0170300050_tooth_RA_k119_55542	cid|444103	444103	100	81	25	6735	1
R0170300050_tooth_RA_k119_42387	cid|2081702	2081702	1225	196	50	28614	1
R0170300050_tooth_RA_k119_65060	cid|28448	28448	81	64	24	3117	1
R0170300050_tooth_RA_k119_60306	cid|1710	1710	5389	0	127	7800	1
R0170300050_tooth_RA_k119_63302	cid|1859	1859	1156	0	49	6696	1
R0170300050_tooth_RA_k119_59345	cid|1781	1781	676	0	41	10592	1
R0170300050_tooth_RA_k119_61471	cid|47763	47763	169	169	28	9835	2
R0170300050_tooth_RA_k119_61471	cid|1961713	1961713	169	169	28	9835	2
R0170300050_tooth_RA_k119_73788	cid|106370	106370	484	169	37	3110	1
R0170300050_tooth_RA_k119_21534	cid|59505	59505	3897	0	117	46398	1
R0170300050_tooth_RA_k119_66712	cid|1851395	1851395	549	0	84	8298	1
R0170300050_tooth_RA_k119_54445	cid|2045452	2045452	841	400	44	19278	1
R0170300050_tooth_RA_k119_68228	cid|314722	314722	121	81	26	9485	1
R0170300050_tooth_RA_k119_67974	cid|1851395	1851395	746	0	66	10838	1
R0170300050_tooth_RA_k119_77700	cid|162426	162426	729	196	42	4032	1
R0170300050_tooth_RA_k119_76978	cid|1981173	1981173	441	0	36	6134	1
R0170300050_tooth_RA_k119_78049	cid|1710	1710	784	0	43	5290	1
R0170300050_tooth_RA_k119_71263	cid|1694	1694	2304	0	63	11059	1
R0170300050_tooth_RA_k119_81437	cid|191610	191610	961	529	46	4021	1
R0170300050_tooth_RA_k119_74763	cid|59505	59505	2500	81	65	13967	1
R0170300050_tooth_RA_k119_83977	cid|59505	59505	100	0	25	4712	1
R0170300050_tooth_RA_k119_78278	cid|186189	186189	784	324	43	11934	1
R0170300050_tooth_RA_k119_82377	cid|712122	712122	1936	1936	59	8715	2
R0170300050_tooth_RA_k119_82377	cid|2081702	2081702	1936	1936	59	8715	2
R0170300050_tooth_RA_k119_80412	cid|544580	544580	901	0	71	13823	1
R0170300050_tooth_RA_k119_89475	cid|2081702	2081702	625	625	40	7196	2
R0170300050_tooth_RA_k119_89475	cid|139208	139208	625	625	40	7196	2
R0170300050_tooth_RA_k119_89961	cid|59505	59505	400	0	35	7773	1
R0170300050_tooth_RA_k119_90663	cid|1357915	1357915	729	0	42	5338	1
